phi,acceleration_ideal,acceleration_viscous,gradient_ideal,gradient_viscous
3.2076,80.3955644246,28.4256839712,-319.5992800000,-111.7288000000
3.208,80.4216659825,28.4522668118,-319.6624000000,-111.7444000000
3.2084,80.4477896202,28.4790906524,-319.7255200000,-111.7600400000
3.2088,80.4739353379,28.5061554930,-319.7886400000,-111.7757200000
3.2092,80.5001031356,28.5334613336,-319.8517600000,-111.7914400000
3.2096,80.5262930131,28.5610081742,-319.9148800000,-111.8072000000
3.21,80.5525049706,28.5887960148,-319.9780000000,-111.8230000000
3.9984,106.9590015,24.3756040,-718.8114432,-164.1897408
3.9988,107.0050944,24.3834768,-718.9396960,-164.1949264
3.9992,107.0512319,24.3913832,-719.0679488,-164.2001248
3.9996,107.0974140,24.3993232,-719.1962016,-164.2053360
4.0,107.1436406,24.4072968,-719.3244544,-164.2105600
